source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Standard Equipment 1:33:3d2aa4c53f,staging_variant_matrix_rows.csv,Standard Equipment 1,33,stingray_2lt_c07,variant_matrix_row,"Steering column, power tilt and telescopic",S,,N38,"Steering column, power tilt and telescopic"
staging_variant_matrix_rows.csv:Standard Equipment 1:33:5b3ee8d386,staging_variant_matrix_rows.csv,Standard Equipment 1,33,stingray_2lt_c67,variant_matrix_row,"Steering column, power tilt and telescopic",S,,N38,"Steering column, power tilt and telescopic"
staging_variant_matrix_rows.csv:Standard Equipment 1:33:6c2f7adac7,staging_variant_matrix_rows.csv,Standard Equipment 1,33,stingray_3lt_c67,variant_matrix_row,"Steering column, power tilt and telescopic",S,,N38,"Steering column, power tilt and telescopic"
staging_variant_matrix_rows.csv:Standard Equipment 1:33:ac190d8dc1,staging_variant_matrix_rows.csv,Standard Equipment 1,33,stingray_1lt_c07,variant_matrix_row,"Steering column, power tilt and telescopic",S,,N38,"Steering column, power tilt and telescopic"
staging_variant_matrix_rows.csv:Standard Equipment 1:33:d7cdfe5785,staging_variant_matrix_rows.csv,Standard Equipment 1,33,stingray_3lt_c07,variant_matrix_row,"Steering column, power tilt and telescopic",S,,N38,"Steering column, power tilt and telescopic"
staging_variant_matrix_rows.csv:Standard Equipment 1:34:4fa3062148,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_1lt_c07,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
staging_variant_matrix_rows.csv:Standard Equipment 1:34:546bb9d20b,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_3lt_c67,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
staging_variant_matrix_rows.csv:Standard Equipment 1:34:89d1a7bc63,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_3lt_c07,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
staging_variant_matrix_rows.csv:Standard Equipment 1:34:946728ff1f,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_1lt_c67,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
staging_variant_matrix_rows.csv:Standard Equipment 1:34:af08305443,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_2lt_c67,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
