model_key,variant_id,body_style,trim_level,canonical_status,availability_value,raw_status,count
stingray,stingray_2lt_c67,convertible,2LT,available,available,A,28
stingray,stingray_2lt_c67,convertible,2LT,available,available,A/D,18
stingray,stingray_2lt_c67,convertible,2LT,available,available,A/D1,37
stingray,stingray_2lt_c67,convertible,2LT,available,available,A1,60
stingray,stingray_2lt_c67,convertible,2LT,available,available,A2,6
stingray,stingray_2lt_c67,convertible,2LT,included_equipment_group,needs_review,■,22
stingray,stingray_2lt_c67,convertible,2LT,not_available,not_available,--,33
stingray,stingray_2lt_c67,convertible,2LT,standard,standard,S,110
stingray,stingray_2lt_c67,convertible,2LT,standard,standard,S1,14
stingray,stingray_3lt_c07,coupe,3LT,available,available,A,30
stingray,stingray_3lt_c07,coupe,3LT,available,available,A/D,22
stingray,stingray_3lt_c07,coupe,3LT,available,available,A/D1,39
stingray,stingray_3lt_c07,coupe,3LT,available,available,A/D2,3
stingray,stingray_3lt_c07,coupe,3LT,available,available,A1,58
stingray,stingray_3lt_c07,coupe,3LT,available,available,A2,7
stingray,stingray_3lt_c07,coupe,3LT,available,available,A3,2
stingray,stingray_3lt_c07,coupe,3LT,included_equipment_group,needs_review,■,24
stingray,stingray_3lt_c07,coupe,3LT,included_equipment_group,needs_review,■1,1
stingray,stingray_3lt_c07,coupe,3LT,not_available,not_available,--,18
stingray,stingray_3lt_c07,coupe,3LT,standard,standard,S,110
stingray,stingray_3lt_c07,coupe,3LT,standard,standard,S1,14
stingray,stingray_3lt_c67,convertible,3LT,available,available,A,26
stingray,stingray_3lt_c67,convertible,3LT,available,available,A/D,19
stingray,stingray_3lt_c67,convertible,3LT,available,available,A/D1,37
stingray,stingray_3lt_c67,convertible,3LT,available,available,A/D2,3
stingray,stingray_3lt_c67,convertible,3LT,available,available,A1,56
stingray,stingray_3lt_c67,convertible,3LT,available,available,A2,11
stingray,stingray_3lt_c67,convertible,3LT,available,available,A3,2
stingray,stingray_3lt_c67,convertible,3LT,included_equipment_group,needs_review,■,24
stingray,stingray_3lt_c67,convertible,3LT,included_equipment_group,needs_review,■1,1
stingray,stingray_3lt_c67,convertible,3LT,not_available,not_available,--,27
stingray,stingray_3lt_c67,convertible,3LT,standard,standard,S,106
stingray,stingray_3lt_c67,convertible,3LT,standard,standard,S1,16
z06,z06_1lz_h07,coupe,1LZ,available,available,A,30
z06,z06_1lz_h07,coupe,1LZ,available,available,A/D,21
