source_sheet,source_row,raw_values,reason
Interior 2,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Grand Sport Coupe\n1YE07\n1LT"",""Grand Sport Coupe\n1YE07\n2LT"",""Grand Sport Coupe\n1YE07\n3LT"",""Grand Sport Convertible\n1YE67\n1LT"",""Grand Sport Convertible\n1YE67\n2LT"",""Grand Sport Convertible\n1YE67\n3LT""]",header_or_legend_row
Interior 3,1,"[""Z06"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Interior 3,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Interior 3,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Z06 Coupe\n1YH07\n1LZ"",""Z06 Coupe\n1YH07\n2LZ"",""Z06 Coupe\n1YH07\n3LZ"",""Z06 Convertible\n1YH67\n1LZ"",""Z06 Convertible\n1YH67\n2LZ"",""Z06 Convertible\n1YH67\n3LZ""]",header_or_legend_row
Interior 4,1,"[""ZR1 and ZR1X"","""","""","""","""","""","""","""","""","""",""""]",header_or_legend_row
Interior 4,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""","""","""",""""]",header_or_legend_row
Interior 4,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""ZR1 Coupe\n1YR07\n1LZ"",""ZR1 Coupe\n1YR07\n3LZ"",""ZR1 Convertible\n1YR67\n1LZ"",""ZR1 Convertible\n1YR67\n3LZ"",""ZR1X Coupe\n1YS07\n1LZ"",""ZR1X Coupe\n1YS07\n3LZ"",""ZR1X Convertible\n1YS67\n1LZ"",""ZR1X Convertible\n1YS67\n3LZ""]",header_or_legend_row
Exterior 1,1,"[""Stingray"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Exterior 1,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Exterior 1,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Coupe\n1YC07\n1LT"",""Coupe\n1YC07\n2LT"",""Coupe\n1YC07\n3LT"",""Convertible\n1YC67\n1LT"",""Convertible\n1YC67\n2LT"",""Convertible\n1YC67\n3LT""]",header_or_legend_row
Exterior 2,1,"[""Grand Sport"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Exterior 2,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Exterior 2,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Grand Sport Coupe\n1YE07\n1LT"",""Grand Sport Coupe\n1YE07\n2LT"",""Grand Sport Coupe\n1YE07\n3LT"",""Grand Sport Convertible\n1YE67\n1LT"",""Grand Sport Convertible\n1YE67\n2LT"",""Grand Sport Convertible\n1YE67\n3LT""]",header_or_legend_row
Exterior 3,1,"[""Z06"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Exterior 3,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Exterior 3,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Z06 Coupe\n1YH07\n1LZ"",""Z06 Coupe\n1YH07\n2LZ"",""Z06 Coupe\n1YH07\n3LZ"",""Z06 Convertible\n1YH67\n1LZ"",""Z06 Convertible\n1YH67\n2LZ"",""Z06 Convertible\n1YH67\n3LZ""]",header_or_legend_row
Exterior 4,1,"[""ZR1 and ZR1X"","""","""","""","""","""","""","""","""","""",""""]",header_or_legend_row
Exterior 4,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""","""","""",""""]",header_or_legend_row
