proposal_selectable_id,proposal_scope,proposal_status,source_sheet,model_key,section_family,orderable_rpo,ref_rpo,proposal_label,description,selectable_source,has_orderable_rpo,has_ref_rpo,review_status,source_ref_ids,notes,proposal_filter_status
prop_stingray_exterior_pcu,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,PCU,,"LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories","LPO, Stingray Protection Package, includes (VWE) front radiator grille screens LPO, (STI) Black composite rocker extensions LPO, and (VQK) Black custom splash guards LPO, Genuine Corvette Accessories",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:23:1fccac9f04|staging_variant_matrix_rows.csv:Exterior 1:23:480f330c5f|staging_variant_matrix_rows.csv:Exterior 1:23:a839efede8|staging_variant_matrix_rows.csv:Exterior 1:23:ba253b9cae|staging_variant_matrix_rows.csv:Exterior 1:23:c7d369b412|staging_variant_matrix_rows.csv:Exterior 1:23:e94aac4a34,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_pcx,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,PCX,,"LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories","LPO, Tech Bronze Accent Package, includes (5DG) 19"" front/20"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:25:00f14d02c0|staging_variant_matrix_rows.csv:Exterior 1:25:20a3563097|staging_variant_matrix_rows.csv:Exterior 1:25:2d5d89e986|staging_variant_matrix_rows.csv:Exterior 1:25:3fb6c72e98|staging_variant_matrix_rows.csv:Exterior 1:25:71bae03f3e|staging_variant_matrix_rows.csv:Exterior 1:25:d9a064140e,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_pdv,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,PDV,,"LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory","LPO, Stingray R Appearance Package, includes (SB7) Corvette Racing Themed Graphics Package with Jake and Stingray R logos and (VWD) Stingray R logo wheel center caps, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:24:5a9c3d61cb|staging_variant_matrix_rows.csv:Exterior 1:24:5d5158cb04|staging_variant_matrix_rows.csv:Exterior 1:24:95dc6a635b|staging_variant_matrix_rows.csv:Exterior 1:24:979b0eea99|staging_variant_matrix_rows.csv:Exterior 1:24:a37d30270e|staging_variant_matrix_rows.csv:Exterior 1:24:f1eea94244,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_pin,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,PIN,,Customer VIN ending reservation,Customer VIN ending reservation,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:12:0207896322|staging_variant_matrix_rows.csv:Exterior 1:12:57c3439037|staging_variant_matrix_rows.csv:Exterior 1:12:583f1d8322|staging_variant_matrix_rows.csv:Exterior 1:12:a7aa6d1b0c|staging_variant_matrix_rows.csv:Exterior 1:12:b5638e354b|staging_variant_matrix_rows.csv:Exterior 1:12:d281490164,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_q99,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,Q99,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:101:4d0169e8bc|staging_variant_matrix_rows.csv:Exterior 1:101:5c9e55e49a|staging_variant_matrix_rows.csv:Exterior 1:101:662f5c9528|staging_variant_matrix_rows.csv:Exterior 1:101:8d71d0560f|staging_variant_matrix_rows.csv:Exterior 1:101:90994eacb1|staging_variant_matrix_rows.csv:Exterior 1:101:cc8a23eb25,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_q9a,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,Q9A,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:102:06097adca3|staging_variant_matrix_rows.csv:Exterior 1:102:3da1ed4689|staging_variant_matrix_rows.csv:Exterior 1:102:4b07ff1242|staging_variant_matrix_rows.csv:Exterior 1:102:4fc5f9c695|staging_variant_matrix_rows.csv:Exterior 1:102:b2f186410d|staging_variant_matrix_rows.csv:Exterior 1:102:df8a2d1b0b,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_q9i,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,Q9I,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:103:2793dd6eea|staging_variant_matrix_rows.csv:Exterior 1:103:4a43fcef1c|staging_variant_matrix_rows.csv:Exterior 1:103:6a3ce600ba|staging_variant_matrix_rows.csv:Exterior 1:103:90f0274534|staging_variant_matrix_rows.csv:Exterior 1:103:c587818a35|staging_variant_matrix_rows.csv:Exterior 1:103:c5e2444ac5,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_q9o,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,Q9O,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum","Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:104:38e336c24e|staging_variant_matrix_rows.csv:Exterior 1:104:5923aed18e|staging_variant_matrix_rows.csv:Exterior 1:104:702e39b13a|staging_variant_matrix_rows.csv:Exterior 1:104:b63ae80da9|staging_variant_matrix_rows.csv:Exterior 1:104:cc63902b9e|staging_variant_matrix_rows.csv:Exterior 1:104:d85580eedd,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_qe6,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,QE6,,"NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum","NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:100:2a5c23a2c5|staging_variant_matrix_rows.csv:Exterior 1:100:2b1c619f8f|staging_variant_matrix_rows.csv:Exterior 1:100:2bf0321220|staging_variant_matrix_rows.csv:Exterior 1:100:710d962615|staging_variant_matrix_rows.csv:Exterior 1:100:b3696208f7|staging_variant_matrix_rows.csv:Exterior 1:100:ef6fdc5abc,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_r88,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,R88,,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory","LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:34:16286c46ce|staging_variant_matrix_rows.csv:Exterior 1:34:3c9a54e065|staging_variant_matrix_rows.csv:Exterior 1:34:4e364fe70d|staging_variant_matrix_rows.csv:Exterior 1:34:61f8bfa9ca|staging_variant_matrix_rows.csv:Exterior 1:34:6995fc570c|staging_variant_matrix_rows.csv:Exterior 1:34:b4c280561a,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
