proposal_selectable_id,proposal_status,model_key,section_family,section_name,category_name,display_label,display_description,source_description_raw,source_detail_raw,review_status,source_ref_ids
prop_grand_sport_mechanical_nc7,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)","Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)","Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)
1. Requires (YF5) California state emissions requirements or (NE1) Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington state emissions requirements.","Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)
1. Requires (YF5) California state emissions requirements or (NE1) Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington state emissions requirements.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:25:03b0fc6e9f|staging_variant_matrix_rows.csv:Mechanical 2:25:29cd62a6e7|staging_variant_matrix_rows.csv:Mechanical 2:25:d4fea80b00|staging_variant_matrix_rows.csv:Mechanical 2:25:ec1787ebc5|staging_variant_matrix_rows.csv:Mechanical 2:25:f4c3e6afa5|staging_variant_matrix_rows.csv:Mechanical 2:25:f5858733ce
prop_grand_sport_mechanical_nb9,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)","Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)","Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)
1. Allows a California dealer (YF5 emissions) to order (NE1) emissions with (NB9) emissions override code for registration in (NE1) states; or, a Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington dealer (NE1 emissions) to order (YF5) emissions with (NB9) emissions override code for registration in California.","Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)
1. Allows a California dealer (YF5 emissions) to order (NE1) emissions with (NB9) emissions override code for registration in (NE1) states; or, a Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington dealer (NE1 emissions) to order (YF5) emissions with (NB9) emissions override code for registration in California.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:24:207e95742b|staging_variant_matrix_rows.csv:Mechanical 2:24:2f16868127|staging_variant_matrix_rows.csv:Mechanical 2:24:6bb6c7ae9d|staging_variant_matrix_rows.csv:Mechanical 2:24:6fa32fa821|staging_variant_matrix_rows.csv:Mechanical 2:24:769c197c02|staging_variant_matrix_rows.csv:Mechanical 2:24:85c271210e
prop_grand_sport_mechanical_yf5,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Emissions, California state requirements, 50-state certified","Emissions, California state requirements, 50-state certified","Emissions, California state requirements, 50-state certified","Emissions, California state requirements, 50-state certified",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:21:27f04be9ec|staging_variant_matrix_rows.csv:Mechanical 2:21:398f72b64f|staging_variant_matrix_rows.csv:Mechanical 2:21:46b1e4912a|staging_variant_matrix_rows.csv:Mechanical 2:21:588f4d646d|staging_variant_matrix_rows.csv:Mechanical 2:21:bd923c680e|staging_variant_matrix_rows.csv:Mechanical 2:21:de92f90569
prop_grand_sport_mechanical_ne1,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements","Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements","Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements","Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:22:0b10c124bf|staging_variant_matrix_rows.csv:Mechanical 2:22:5d49ed3914|staging_variant_matrix_rows.csv:Mechanical 2:22:75131ed1cb|staging_variant_matrix_rows.csv:Mechanical 2:22:782e1f8d00|staging_variant_matrix_rows.csv:Mechanical 2:22:dea082966b|staging_variant_matrix_rows.csv:Mechanical 2:22:f5bdef5311
prop_grand_sport_mechanical_fe9,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Emissions, Federal requirements, 50-state certified","Emissions, Federal requirements, 50-state certified","Emissions, Federal requirements, 50-state certified","Emissions, Federal requirements, 50-state certified",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:20:013bd5de20|staging_variant_matrix_rows.csv:Mechanical 2:20:0fc3abb644|staging_variant_matrix_rows.csv:Mechanical 2:20:bedb1598c9|staging_variant_matrix_rows.csv:Mechanical 2:20:c3f5380063|staging_variant_matrix_rows.csv:Mechanical 2:20:f1e54fcd6b|staging_variant_matrix_rows.csv:Mechanical 2:20:f2bc21f3fe
prop_grand_sport_mechanical_d3v,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,Engine lighting,Engine lighting,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.","Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:33:15365bde2e|staging_variant_matrix_rows.csv:Mechanical 2:33:22a509b184|staging_variant_matrix_rows.csv:Mechanical 2:33:444f09a1ab|staging_variant_matrix_rows.csv:Mechanical 2:33:48a256fb5e|staging_variant_matrix_rows.csv:Mechanical 2:33:4c69465d9c|staging_variant_matrix_rows.csv:Mechanical 2:33:fd5ff02448
prop_grand_sport_mechanical_ref_nga_09db28,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Exhaust tips, Black","Exhaust tips, Black","Exhaust tips, Black","Exhaust tips, Black",needs_review,staging_variant_matrix_rows.csv:Mechanical 2:36:115edbd811|staging_variant_matrix_rows.csv:Mechanical 2:36:501ff6a6e1|staging_variant_matrix_rows.csv:Mechanical 2:36:6f8aa98599|staging_variant_matrix_rows.csv:Mechanical 2:36:9beb19dff2|staging_variant_matrix_rows.csv:Mechanical 2:36:9c0d2d6ef4|staging_variant_matrix_rows.csv:Mechanical 2:36:f38c761b5d
prop_grand_sport_mechanical_ref_npp_9d2116,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Exhaust, performance, aggressive exhaust sound varies with driver mode selected","Exhaust, performance, aggressive exhaust sound varies with driver mode selected","Exhaust, performance, aggressive exhaust sound varies with driver mode selected","Exhaust, performance, aggressive exhaust sound varies with driver mode selected",needs_review,staging_variant_matrix_rows.csv:Mechanical 2:34:059e6b2265|staging_variant_matrix_rows.csv:Mechanical 2:34:3af4bc8f06|staging_variant_matrix_rows.csv:Mechanical 2:34:3b24e19ae4|staging_variant_matrix_rows.csv:Mechanical 2:34:65eca8ded2|staging_variant_matrix_rows.csv:Mechanical 2:34:ac52bec8af|staging_variant_matrix_rows.csv:Mechanical 2:34:cdc8895edc
prop_grand_sport_mechanical_norpo_cc2f2484,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"Frame, aluminum structure","Frame, aluminum structure","Frame, aluminum structure","Frame, aluminum structure",needs_review,staging_variant_matrix_rows.csv:Mechanical 2:38:1a29416ecc|staging_variant_matrix_rows.csv:Mechanical 2:38:6569c287fd|staging_variant_matrix_rows.csv:Mechanical 2:38:75a5c4f8fa|staging_variant_matrix_rows.csv:Mechanical 2:38:973fb67f34|staging_variant_matrix_rows.csv:Mechanical 2:38:b28605ac61|staging_variant_matrix_rows.csv:Mechanical 2:38:de2894458a
prop_grand_sport_mechanical_ref_ukt_b28b2c,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,Front Pedestrian and Bicyclist Braking,Front Pedestrian and Bicyclist Braking,Front Pedestrian and Bicyclist Braking,Front Pedestrian and Bicyclist Braking,needs_review,staging_variant_matrix_rows.csv:Mechanical 2:10:11ca526b7c|staging_variant_matrix_rows.csv:Mechanical 2:10:201c3f616b|staging_variant_matrix_rows.csv:Mechanical 2:10:6a2215f87d|staging_variant_matrix_rows.csv:Mechanical 2:10:a1f1b97217|staging_variant_matrix_rows.csv:Mechanical 2:10:cf3ba6195e|staging_variant_matrix_rows.csv:Mechanical 2:10:df50ba1704
prop_grand_sport_mechanical_vup,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory","LPO, Engine Bay closeout graphics, Genuine Corvette Accessory","LPO, Engine Bay closeout graphics, Genuine Corvette Accessory","LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:40:09c61a1fe4|staging_variant_matrix_rows.csv:Mechanical 2:40:14cabc4c80|staging_variant_matrix_rows.csv:Mechanical 2:40:17b68d196b|staging_variant_matrix_rows.csv:Mechanical 2:40:4f721eb9e4|staging_variant_matrix_rows.csv:Mechanical 2:40:8225be9479|staging_variant_matrix_rows.csv:Mechanical 2:40:8d9b7cdeef
prop_grand_sport_mechanical_sl9,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LPO, Engine specification plaque, Genuine Corvette Accessory","LPO, Engine specification plaque, Genuine Corvette Accessory","LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.","LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:41:1f672846b1|staging_variant_matrix_rows.csv:Mechanical 2:41:2ecd7a23e9|staging_variant_matrix_rows.csv:Mechanical 2:41:54ad1d2a58|staging_variant_matrix_rows.csv:Mechanical 2:41:949f018f21|staging_variant_matrix_rows.csv:Mechanical 2:41:c12592bdea|staging_variant_matrix_rows.csv:Mechanical 2:41:eb1c84cf43
prop_grand_sport_mechanical_slk,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory","LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:42:02eee6be5b|staging_variant_matrix_rows.csv:Mechanical 2:42:6e54abb3d6|staging_variant_matrix_rows.csv:Mechanical 2:42:7eeab8c492|staging_variant_matrix_rows.csv:Mechanical 2:42:893efa1b44|staging_variant_matrix_rows.csv:Mechanical 2:42:be3e089ed8|staging_variant_matrix_rows.csv:Mechanical 2:42:e465e38702
prop_grand_sport_mechanical_sln,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory","LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory","LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory","LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:39:1859e629e8|staging_variant_matrix_rows.csv:Mechanical 2:39:1e506077a3|staging_variant_matrix_rows.csv:Mechanical 2:39:2449e76321|staging_variant_matrix_rows.csv:Mechanical 2:39:66c160c1b0|staging_variant_matrix_rows.csv:Mechanical 2:39:e35efbec10|staging_variant_matrix_rows.csv:Mechanical 2:39:f1e1b89043
prop_grand_sport_mechanical_ref_bc7_ffbf7d,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LS6 engine cover, Black","LS6 engine cover, Black","LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.","LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",needs_review,staging_variant_matrix_rows.csv:Mechanical 2:29:18c249a1e2|staging_variant_matrix_rows.csv:Mechanical 2:29:6d6e82c844|staging_variant_matrix_rows.csv:Mechanical 2:29:72380b94b2|staging_variant_matrix_rows.csv:Mechanical 2:29:8b2a40963d|staging_variant_matrix_rows.csv:Mechanical 2:29:9a826b1623|staging_variant_matrix_rows.csv:Mechanical 2:29:ca524c28dd
prop_grand_sport_mechanical_bcp,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LS6 engine cover, Edge Red","LS6 engine cover, Edge Red","LS6 engine cover, Edge Red
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.","LS6 engine cover, Edge Red
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:31:0541105c5b|staging_variant_matrix_rows.csv:Mechanical 2:31:3b5f01e37f|staging_variant_matrix_rows.csv:Mechanical 2:31:3c82c2470a|staging_variant_matrix_rows.csv:Mechanical 2:31:740675b98c|staging_variant_matrix_rows.csv:Mechanical 2:31:c1b40b8ff8|staging_variant_matrix_rows.csv:Mechanical 2:31:f42155d578
prop_grand_sport_mechanical_bcs,proposal_only,grand_sport,mechanical,Mechanical,Mechanical,"LS6 engine cover, Sterling Silver-painted","LS6 engine cover, Sterling Silver-painted","LS6 engine cover, Sterling Silver-painted
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.","LS6 engine cover, Sterling Silver-painted
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",proposal_only,staging_variant_matrix_rows.csv:Mechanical 2:32:269331fff6|staging_variant_matrix_rows.csv:Mechanical 2:32:411e60420e|staging_variant_matrix_rows.csv:Mechanical 2:32:82fb40431a|staging_variant_matrix_rows.csv:Mechanical 2:32:ae40fef37d|staging_variant_matrix_rows.csv:Mechanical 2:32:af5b0336b7|staging_variant_matrix_rows.csv:Mechanical 2:32:c1945636b1
