level0,level1,level2,level3,level4,level5,interior_id
,,Jet Black,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Jet Black,,3LT_AE4_HTE
,,,,Jet Black with Yellow Stitching,,3LT_AE4_HTE_36S
,,,,Jet Black with Blue Stitching,,3LT_AE4_HTE_37S
,,,,Jet Black with Red Stitching,,3LT_AE4_HTE_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Jet Black Suede,,3LT_AE4_HTT_N26
,,,,Jet Black Suede with Yellow Stitching,,3LT_AE4_HTT_N26_36S
,,,,Jet Black Suede with Blue Stitching,,3LT_AE4_HTT_N26_37S
,,,,Jet Black Suede with Red Stitching,,3LT_AE4_HTT_N26_38S
,,Sky Cool Gray,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Sky Cool Gray,,3LT_AE4_HU1
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Sky Cool Gray Suede,,3LT_AE4_HU9_N26
,,Adrenaline Red,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Adrenaline Red,,3LT_AE4_HU2
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Adrenaline Red Suede,,3LT_AE4_HUA_N26
,,"Adrenaline Red Dipped (only one option, so no need for an expandable card)",,,,
,,,Adrenaline Red Dipped,,,3LT_AE4_HNK
,,Natural,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Natural,,3LT_AE4_HUE
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Suede,,3LT_AE4_HTG_N26
,,Natural Dipped,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Natural Dipped,,3LT_AE4_HZN
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Dipped Suede,,3LT_AE4_HUF_N26
,,"Santorini Blue (only one option, so no need for an expandable card)",,,,
,,,Santorini Blue,,,3LT_AE4_H8T
,,Santorini Blue Dipped with Torch Red accents,,,,
,,,Santorini Blue Dipped with Torch Red accents,,,3LT_AE4_EL9
,,Habanero,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Habanero,,3LT_AE4_HUW
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Habanero Suede,,3LT_AE4_HUX_N26
,,Very Dark Atmosphere,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Very Dark Atmosphere,,3LT_AE4_EJH
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Very Dark Atmosphere Suede,,3LT_AE4_EPX_N26
,,Ultimate Suede Jet Black,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Ultimate Suede Jet Black,,3LT_AE4_HUC
,,,,Ultimate Suede Jet Black with Yellow Stitching,,3LT_AE4_HUC_36S
,,,,Ultimate Suede Jet Black with Blue Stitching,,3LT_AE4_HUC_37S
,,,,Ultimate Suede Jet Black with Red Stitching,,3LT_AE4_HUC_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Ultimate Suede Jet Black,,3LT_AE4_HUB_N26
,,,,Ultimate Suede Jet Black with Yellow Stitching,,3LT_AE4_HUB_N26_36S
,,,,Ultimate Suede Jet Black with Blue Stitching,,3LT_AE4_HUB_N26_37S
,,,,Ultimate Suede Jet Black with Red Stitching,,3LT_AE4_HUB_N26_38S
,,"Asymmetrical Adrenaline Red / Jet Black (only one option, so no need for an expandable card)",,,,
,,,Asymmetrical Adrenaline Red / Jet Black,,,3LT_AE4_HVZ
,,"Asymmetrical Santorini Blue / Jet Black (only one option, so no need for an expandable card)",,,,
,,,Asymmetrical Santorini Blue / Jet Black,,,3LT_AE4_HAG
,,Custom Interior trim and seat combinations,,,,
,,,Adrenaline Red interior / Jet Black seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Adrenaline Red interior / Jet Black seats,3LT_R6X_AE4_HUU
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Adrenaline Red interior / Jet Black seats Suede,3LT_R6X_AE4_HZP_N26
,,,Jet Black interior / Adrenaline Red seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Jet Black interior / Adrenaline Red seats,3LT_R6X_AE4_HU0_38S
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Jet Black interior / Adrenaline Red seats Suede,3LT_R6X_AE4_HXO_N26_38S
