source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,trim_level,seat_type,seat_code,seat_trim_raw,seat_trim,interior_color_name,interior_rpo_raw,interior_rpo,footnote_refs,footnote_scope,confidence,source_detail_raw
Color and Trim 1,10,L10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Habanero,HUW,HUW,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,M10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Very Dark Atmosphere,EJH,EJH,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,N10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Ultimate Suede Jet Black,HUC,HUC,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,O10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Asymmetrical Adrenaline Red / Jet Black,HVZ,HVZ,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,P10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Asymmetrical Santorini Blue / Jet Black,HAG,HAG,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,11,E11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Jet Black,HTT,HTT,7,seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,F11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Sky Cool Gray,HU9,HU9,1|7,interior_color_header|seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,G11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Adrenaline Red,HUA6,HUA,2|7|6,interior_color_header|seat_trim|interior_rpo,medium,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,I11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Natural,HTG,HTG,2|7,interior_color_header|seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,J11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Natural Dipped,HUF,HUF,4|7,interior_color_header|seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
