staging_file,source_sheet,model_key,section_family,rpo_kind,rpo,count
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,RXJ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,RYQ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,RYT,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,RZ9,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,Regulatory Options,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,S08,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,S2L,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,S47,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SB7,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SBT,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SC7,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SDA,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SFE,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SFZ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SHQ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SHT,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SHW,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SL1,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SL8,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SL9,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SLK,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SLN,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SNG,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SPY,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SPZ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,STI,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SXB,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SXR,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,SXT,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,TU7,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,TVS,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,UQT,2
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,V8X,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VK3,1
