source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,exterior_color_name_raw,exterior_color_name,exterior_color_rpo_raw,exterior_color_rpo,touch_up_paint_code,interior_rpo_raw,interior_rpo,interior_footnote_refs,interior_footnote_scope,raw_status,status_symbol,footnote_refs,canonical_status,confidence,source_detail_raw
Color and Trim 1,17,O17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Asymmetrical Adrenaline Red / Jet Black
en-us",Asymmetrical Adrenaline Red / Jet Black,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,P17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Asymmetrical Santorini Blue / Jet Black
en-us",Asymmetrical Santorini Blue / Jet Black,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,Q17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Santorini Blue Dipped with Torch Red accents
en-us",Santorini Blue Dipped with Torch Red accents,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,18,E18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,F18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,G18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,H18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Adrenaline Red Dipped3
en-us",Adrenaline Red Dipped,3,interior_color_header,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,I18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Natural2
en-us",Natural,2,interior_color_header,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,J18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Natural Dipped4
en-us",Natural Dipped,4,interior_color_header,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,K18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Santorini Blue
en-us",Santorini Blue,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,L18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Habanero
en-us",Habanero,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,M18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Very Dark Atmosphere
en-us",Very Dark Atmosphere,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,N18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Ultimate Suede Jet Black
en-us",Ultimate Suede Jet Black,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,O18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Asymmetrical Adrenaline Red / Jet Black
en-us",Asymmetrical Adrenaline Red / Jet Black,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,P18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Asymmetrical Santorini Blue / Jet Black
en-us",Asymmetrical Santorini Blue / Jet Black,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,18,Q18,corvette,,needs_review,model_global,Arctic White,Arctic White,G8G,G8G,WA-9567,"Santorini Blue Dipped with Torch Red accents
en-us",Santorini Blue Dipped with Torch Red accents,,,A,A,,available,high,"[""Arctic White"","""",""G8G"",""WA-9567"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,E19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,F19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,G19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,H19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Adrenaline Red Dipped3
en-us",Adrenaline Red Dipped,3,interior_color_header,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,I19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Natural2
en-us",Natural,2,interior_color_header,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,J19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Natural Dipped4
en-us",Natural Dipped,4,interior_color_header,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,K19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Santorini Blue
en-us",Santorini Blue,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
