source_sheet,source_row,guide_family,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,10,corvette,,model_global,,,HVZ,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HAG,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HTT,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HU9,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,1|7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HUA6,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,2|7|6,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HTG,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,2|7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HUF,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,4|7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HUX,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,EPX,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,corvette,,model_global,,,HUB,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,7,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
